2000_USA-road-d.BAY.gr;67604.0
1100_USA-road-d.BAY.gr;70226.32
160_USA-road-d.BAY.gr;13395.74
1800_USA-road-d.COL.gr;42505.7
120_USA-road-d.COL.gr;25582.6
40_USA-road-d.COL.gr;15058.97
200_USA-road-d.BAY.gr;13395.74
80_USA-road-d.NY.gr;31775.84
60_USA-road-d.BAY.gr;10633.33
140_USA-road-d.BAY.gr;15643.66
60_USA-road-d.COL.gr;23914.23
1900_USA-road-d.COL.gr;42505.7
750_USA-road-d.COL.gr;39224.0
250_USA-road-d.COL.gr;32794.27
180_USA-road-d.BAY.gr;13395.74
1500_USA-road-d.BAY.gr;79484.42
700_USA-road-d.COL.gr;39224.0
400_USA-road-d.BAY.gr;32288.36
2200_USA-road-d.COL.gr;48962.93
400_USA-road-d.COL.gr;39224.0
20_USA-road-d.BAY.gr;15332.56
1100_USA-road-d.NY.gr;70089.23
1900_USA-road-d.NY.gr;69098.25
200_USA-road-d.COL.gr;31845.67
800_USA-road-d.COL.gr;39224.0
2200_USA-road-d.BAY.gr;80869.21
1400_USA-road-d.NY.gr;67883.94
200_USA-road-d.NY.gr;31872.52
20_USA-road-d.COL.gr;7076.52
1700_USA-road-d.NY.gr;66475.47
2000_USA-road-d.NY.gr;66853.3
1700_USA-road-d.COL.gr;42505.7
550_USA-road-d.COL.gr;39224.0
950_USA-road-d.NY.gr;43329.05
1600_USA-road-d.BAY.gr;81914.42
250_USA-road-d.NY.gr;37057.41
2100_USA-road-d.BAY.gr;72250.16
550_USA-road-d.NY.gr;47814.36
2100_USA-road-d.COL.gr;43998.7
300_USA-road-d.NY.gr;35802.77
2400_USA-road-d.BAY.gr;77192.1
1400_USA-road-d.COL.gr;42505.7
800_USA-road-d.NY.gr;43624.92
850_USA-road-d.BAY.gr;42201.06
500_USA-road-d.BAY.gr;38097.93
60_USA-road-d.NY.gr;31775.84
120_USA-road-d.NY.gr;30613.08
1200_USA-road-d.NY.gr;72565.99
2200_USA-road-d.NY.gr;66853.3
850_USA-road-d.NY.gr;43329.05
1600_USA-road-d.NY.gr;66475.47
250_USA-road-d.BAY.gr;19247.97
1200_USA-road-d.BAY.gr;76338.22
750_USA-road-d.NY.gr;43624.92
2300_USA-road-d.BAY.gr;77192.1
1700_USA-road-d.BAY.gr;70557.79
40_USA-road-d.BAY.gr;12664.33
140_USA-road-d.COL.gr;24651.02
180_USA-road-d.NY.gr;30750.74
2300_USA-road-d.NY.gr;123256.85
80_USA-road-d.COL.gr;14277.49
2100_USA-road-d.NY.gr;123256.85
550_USA-road-d.BAY.gr;22317.24
800_USA-road-d.BAY.gr;40198.44
1500_USA-road-d.COL.gr;42505.7
950_USA-road-d.COL.gr;29672.76
1300_USA-road-d.NY.gr;67883.94
750_USA-road-d.BAY.gr;46226.95
300_USA-road-d.BAY.gr;21954.18
1800_USA-road-d.NY.gr;69098.25
100_USA-road-d.COL.gr;25320.15
2500_USA-road-d.BAY.gr;73897.13
950_USA-road-d.BAY.gr;54243.89
700_USA-road-d.NY.gr;43329.05
1300_USA-road-d.COL.gr;42505.7
40_USA-road-d.NY.gr;17330.1
120_USA-road-d.BAY.gr;12218.98
1800_USA-road-d.BAY.gr;71769.66
1000_USA-road-d.NY.gr;43329.05
450_USA-road-d.COL.gr;39224.0
900_USA-road-d.BAY.gr;54243.89
1600_USA-road-d.COL.gr;42505.7
1900_USA-road-d.BAY.gr;77036.69
900_USA-road-d.COL.gr;29672.76
2500_USA-road-d.COL.gr;48427.8
160_USA-road-d.NY.gr;31661.08
1500_USA-road-d.NY.gr;66475.47
2500_USA-road-d.NY.gr;71974.35
350_USA-road-d.BAY.gr;21954.18
1300_USA-road-d.BAY.gr;76715.79
1000_USA-road-d.COL.gr;29672.76
450_USA-road-d.BAY.gr;32288.36
650_USA-road-d.NY.gr;43329.05
100_USA-road-d.BAY.gr;10857.06
650_USA-road-d.BAY.gr;34634.21
160_USA-road-d.COL.gr;24651.02
600_USA-road-d.NY.gr;47814.36
600_USA-road-d.COL.gr;39224.0
900_USA-road-d.NY.gr;43329.05
1400_USA-road-d.BAY.gr;79995.28
350_USA-road-d.NY.gr;41712.37
600_USA-road-d.BAY.gr;34634.21
1000_USA-road-d.BAY.gr;48250.0
20_USA-road-d.NY.gr;9454.47
2400_USA-road-d.NY.gr;71974.35
400_USA-road-d.NY.gr;44441.89
850_USA-road-d.COL.gr;29672.76
650_USA-road-d.COL.gr;39224.0
300_USA-road-d.COL.gr;34605.27
350_USA-road-d.COL.gr;30611.05
100_USA-road-d.NY.gr;33931.04
500_USA-road-d.COL.gr;39224.0
80_USA-road-d.BAY.gr;10857.06
2000_USA-road-d.COL.gr;49019.13
2300_USA-road-d.COL.gr;49019.13
700_USA-road-d.BAY.gr;46226.95
2400_USA-road-d.COL.gr;49019.13
1100_USA-road-d.COL.gr;42766.5
140_USA-road-d.NY.gr;33079.16
450_USA-road-d.NY.gr;47080.7
180_USA-road-d.COL.gr;33704.64
1200_USA-road-d.COL.gr;42766.5
500_USA-road-d.NY.gr;48093.44
